date,item,category,qty,unit_price,total,payment
2026-01-05,Get Well Bouquet,arrangement,1,47.50,47.50,debit card
2026-01-06,Sympathy Arrangement,arrangement,1,70.50,70.50,cash
2026-01-08,Everyday Vase Arrangement,arrangement,1,54.50,54.50,debit card
2026-01-08,Seasonal Mixed Bouquet,arrangement,1,55.50,55.50,cash
2026-01-08,Premium Rose Arrangement,arrangement,1,83.50,83.50,debit card
2026-01-12,Standard Delivery,delivery,1,10.50,10.50,cash
2026-01-13,Greeting Card,gift,1,10.50,10.50,debit card
2026-01-13,Sympathy Arrangement,arrangement,1,90.50,90.50,credit card
2026-01-15,Standard Delivery,delivery,1,10.00,10.00,credit card
2026-01-20,Everyday Vase Arrangement,arrangement,1,49.50,49.50,credit card
2026-01-21,Standard Delivery,delivery,1,10.00,10.00,credit card
2026-01-23,Get Well Bouquet,arrangement,1,45.00,45.00,cash
2026-01-26,Congratulations Bouquet,arrangement,1,68.50,68.50,check
2026-01-28,Standard Delivery,delivery,1,10.50,10.50,check
2026-01-28,Congratulations Bouquet,arrangement,1,57.50,57.50,credit card
2026-02-02,Congratulations Bouquet,arrangement,1,70.00,70.00,debit card
2026-02-02,Anniversary Arrangement,arrangement,1,79.50,79.50,credit card
2026-02-06,Same-Day Delivery Fee,delivery,1,15.00,15.00,debit card
2026-02-06,New Baby Bouquet,arrangement,2,52.50,105.00,debit card
2026-02-09,Valentine's Day Rose Bouquet,arrangement,1,91.50,91.50,credit card
2026-02-09,Mini Bud Vase,gift,1,17.50,17.50,cash
2026-02-09,Local Delivery Fee,delivery,1,11.00,11.00,debit card
2026-02-10,Valentine's Day Rose Bouquet,arrangement,2,95.00,190.00,cash
2026-02-10,Red Rose Dozen - Valentine Special,arrangement,1,73.50,73.50,credit card
2026-02-10,Red Rose Dozen - Valentine Special,arrangement,1,90.00,90.00,credit card
2026-02-11,Local Delivery Fee,delivery,1,10.50,10.50,credit card
2026-02-16,Spring Garden Arrangement,arrangement,2,64.50,129.00,credit card
2026-02-16,Chocolate Box,gift,3,24.50,73.50,credit card
2026-02-17,Get Well Bouquet,arrangement,1,54.50,54.50,cash
